document_id,patent_publication,international_publication,title,owner,original_applicant,assignee_country,priority_date,priority_year,filing_date,publication_date,grant_b1_publication_date,legal_status_expiry,family_size,cited_by_count,ipc_cpc,core_technology,main_rd_relevance
WO_2010109018_A1,EP2411423A1,WO 2010/109018 A1,ADHESIVES MADE FROM POLYMER SYSTEMS,Henkel,HENKEL AG & CO. KGAA [DE/DE],DE (Germany),2009-03-27,2009,2010-03-26,2012-02-01,2015-05-06,No opposition filed within time limit;  Expected maximum expiry 2030-03-26.,14 family-member/equivalent blocks in EP Register patent family tab.,17,"IPC: C08F8/50, C08L23/10, C09J123/10 | CPC: C08L23/08 (EP,US); C09J123/10 (KR); C09J119/00 (US); | C08F8/50 (EP,US); C08L23/0815 (EP,KR,US); C08L23/16 (EP,KR,US); | C09J123/00 (KR); C09J123/08 (EP,US); C09J123/16 (EP,KR,US); | C08L2205/02 (EP,KR,US); C08L2666/06 (EP,US); C08L2666/08 (EP,US)  | C-Set: C08F8/50, C08F210/06 (US,EP); | C08L23/0815, C08L2666/08 (US,EP); | C08L23/08, C08L2666/06 (US,EP); | C08L23/16, C08L2666/06 (US,EP); | C09J123/08, C08L2666/06 (EP,US); | C09J123/08, C08L2666/08 (EP,US); | C09J123/16, C08L2666/06 (EP,US); | C08F210/06, C08F210/02 (EP,US); | C08F210/06, C08F210/02, C08F210/08 (EP,US)",EPR/EPDM + semi-crystalline olefin,Viscosity reduction platform
WO_2011011729_A1,EP2456819A1,WO 2011/011729 A1,HOT MELT ADHESIVE BASED ON OLEFIN BLOCK COPOLYMERS,Bostik,"BOSTIK, INC. [US/US];",US (United States),2009-07-24,2009,2010-07-23,2012-05-30,2019-01-09,No opposition filed within time limit;  Expected maximum expiry 2030-07-23.,11 family-member/equivalent blocks in EP Register patent family tab.,97,"IPC: C08L53/00, C09J123/02 [2012/22] | CPC: B32B5/26 (EP,US); D04H1/42 (US); A61F13/4902 (EP,US); | B32B27/12 (EP,US); B32B27/32 (EP,US); B32B7/12 (EP,US); | C09J153/00 (EP,US); D04H1/4374 (EP,US); B32B2255/02 (EP,US); | B32B2255/10 (EP,US); B32B2255/26 (EP,US); B32B2262/00 (EP,US); | B32B2272/00 (EP,US); B32B2274/00 (EP,US); B32B2307/51 (EP,US); | B32B2309/14 (EP,US); B32B2555/02 (EP,US); C08L2666/02 (EP,US); | C08L53/02 (EP,US); Y10T442/60 (EP,US); Y10T442/602 (EP,US)  | C-Set: C09J153/00, C08L2666/02 (EP,US)",Olefin block copolymer adhesive,High-citation OBC route
WO_2012092233_A2,EP2686395A2,WO 2012/092233 A2,HOT MELT ADHESIVE,Henkel,HENKEL CORPORATION [US/US],US (United States),2010-12-27,2010,2011-12-27,2014-01-22,2017-10-11,No opposition filed within time limit;  Expected maximum expiry 2031-12-27.,6 family-member/equivalent blocks in EP Register patent family tab.,27,"IPC: C09J123/00, C09J123/08, C09J7/00 | [2014/04] | CPC: C09J123/0853 (EP,US); C09J191/06 (US); C08L51/06 (EP,US); | C09J123/0815 (EP,US); C09J123/0869 (EP,US); C09J7/21 (EP,US); | C09J7/30 (EP,US); Y10T428/31808 (EP,US)  | C-Set: C09J123/0815, C08L51/06 (US,EP); | C09J123/0853, C08L51/06 (US,EP); | C09J123/0869, C08L51/06 (EP,US)",Ethylene copolymer + modified wax,Low-temperature paper/bookbinding adjacency
WO_2013039261_A1,EP2756049A1,WO 2013/039261 A1,HOT MELT ADHESIVE,Henkel,HENKEL AG & CO. KGAA [DE/DE],DE (Germany),2011-09-16,2011,2012-09-13,2014-07-23,2018-12-19,No opposition filed within time limit;  Expected maximum expiry 13.09.2032 based on filing date 13.09.2012.,14 family-member/equivalent blocks in EP Register patent family tab.,46,"IPC: C09J123/12 | CPC: C09J123/12; C08L23/0815; C09J11/06; C09J11/08; C09J123/08; C09J123/0815; C09J7/35; C08L2314/06; C09J2301/304; C09J2301/312; Y10T428/2826 | C-Set: C09J123/12, C08L23/0815",Metallocene PP + ethylene-based copolymer,Low-temperature spiral coating; PE/nonwoven adhesion
WO_2013162059_A1,EP2841522A1,WO 2013/162059 A1,HOT MELT ADHESIVE,Henkel,HENKEL JAPAN LTD. [JP/JP],JP (Japan),2012-04-26,2012,2013-04-25,2015-03-04,2018-06-27,No opposition filed within time limit;  Expected maximum expiry 25.04.2033 based on filing date 25.04.2013.,14 family-member/equivalent blocks in EP Register patent family tab.,18,"IPC:  C09J167/00, C09J11/06, C09J109/00, C09J123/26, C09J201/00, C09J167/02, C09J167/04 | CPC: C09J167/04 (EP,KR,RU,US); C09J109/00 (RU); C08L53/02 (EP,US); | C08L53/025 (EP,US); C08L67/04 (EP,US); C09J123/26 (EP,KR,RU,US); | C09J157/02 (US); C09J167/02 (EP,KR,US); A61F13/15 (RU); | C09J2409/00 (KR,US); C09J2453/00 (KR,US); C09J2467/00 (KR,US) | C-Set: C09J123/26, C08L53/02, C08L67/04 (US,EP); | C09J167/02, C08L53/02, C08L53/025 (EP,US); | C09J167/04, C08L53/02, C08L53/025 (US,EP)",Polar-modified polymer + aliphatic polyester,Bio-polyester compatibilization
WO_2014130180_A1,EP2958970A1,WO 2014/130180 A1,ELASTIC ATTACHMENT ADHESIVE AND USE THEREOF,Henkel,HENKEL US IP LLC [US/US],US (United States),2013-02-21,2013,2014-01-16,2015-12-30,2022-06-01,No opposition filed within time limit;  Expected maximum expiry 2034-01-16.,11 family-member/equivalent blocks in EP Register patent family tab.,26,"IPC: C09J123/12, C09J11/00, C09J153/00, B32B5/02, B32B27/12, B32B27/32, B32B7/12 | [2021/25] | CPC: C09J153/00 (EP,US); C09J7/22 (RU); B32B27/12 (EP,US); | B32B27/327 (EP,US); B32B5/022 (EP,US); B32B7/12 (EP,US); | C09J11/00 (RU); C09J123/12 (RU); C09J7/29 (RU); | C09J7/35 (RU); B32B2307/51 (EP,US); B32B2307/548 (EP,US); | B32B2307/704 (EP,US); B32B2555/02 (EP,US); Y10T442/602 (EP,US)",Non-metallocene semi-crystalline PP,Elastic-attachment PP route
WO_2016140830_A1,EP3268442A1,WO 2016/140830 A1,STRETCH LAMINATES,Henkel,HENKEL IP & HOLDING GMBH [DE/DE]; HENKEL AG & CO. KGAA [DE/DE];,DE (Germany),2015-03-02,2015,2016-02-23,2018-01-17,2022-08-10,No opposition filed within time limit;  Expected maximum expiry 2036-02-23.,10 family-member/equivalent blocks in EP Register patent family tab.,7,"IPC: C09J11/00, C08F210/06, C09J123/14, C09J123/12, C08F10/06 | [2022/12] | CPC: C08F10/06 (EP,US); C09J123/10 (KR,RU); B32B27/32 (US); | B32B27/12 (US); B32B37/12 (US); B32B5/022 (US); | B32B7/12 (US); C08F210/06 (RU); C09J11/00 (RU); | C09J123/12 (EP,US); C09J123/14 (EP,US); C09J191/06 (KR,US); | C09J193/04 (US); B32B2037/1215 (US); B32B2307/51 (US); | B32B2307/72 (US); B32B2323/10 (US); B32B2555/02 (US); | C09J2301/304 (KR); C09J2301/312 (KR)",PP copolymer + wax/tackifier,Stretch laminate/rubber replacement route
WO_2017123874_A1,EP3402857A1,WO 2017/123874 A1,HOT MELT ADHESIVE COMPOSITION BASED ON A BLEND OF PROPYLENE COPOLYMERS PREPARED USING SINGLE-SITE CATALYSTS AND METHODS,Bostik,"BOSTIK, INC. [US/US];",US (United States),2016-01-14,2016,2017-01-13,2018-11-21,2020-06-17,Opposition rejected;  Expected maximum expiry 2037-01-13.,15 family-member/equivalent blocks in EP Register patent family tab.,27,"IPC: C09J123/10, C09J123/12, C09J123/14, C08L23/10, C08L23/12, C08L23/14, B32B5/02, B32B5/04, B32B5/26, B32B7/12, B32B27/32, B32B37/12, B32B27/12, B32B3/04 | [2020/18] | CPC: C09J123/142 (EP,KR,US); B32B27/12 (EP,KR,US); B32B27/32 (EP,KR,US); | B32B3/04 (EP,US); B32B37/1207 (KR,US); B32B5/022 (EP,KR,US); | B32B5/04 (EP,US); B32B5/26 (EP,US); B32B7/12 (EP,US); | C08L23/142 (EP,US); C09J11/04 (KR); C09J11/06 (KR,US); | C09J11/08 (KR); B32B2037/1215 (EP,US); B32B2250/02 (EP,US); | B32B2250/03 (EP,US); B32B2255/02 (EP,US); B32B2255/26 (EP,US); | B32B2305/18 (EP,US); B32B2307/308 (EP,US); B32B2307/50 (EP,US); | B32B2307/51 (EP,US); B32B2307/54 (EP,US); B32B2307/542 (EP,US); | B32B2307/546 (EP,US); B32B2307/548 (EP,US); B32B2307/558 (EP,US); | B32B2307/58 (EP,US); B32B2307/702 (EP,US); B32B2307/704 (EP,US); | B32B2307/718 (EP,US); B32B2307/72 (EP,US); B32B2323/04 (EP,US); | B32B2437/00 (EP,US); B32B2519/00 (EP,US); B32B2535/00 (EP,US); | B32B2553/00 (EP,US); B32B2555/02 (EP,US); B32B2581/00 (EP,US); | C08L2314/06 (EP,US)  | C-Set:	 | C09J123/142, C08L23/142 (EP,US)",Bimodal single-site PP blend,Single-site PP checkpoint
WO_2019094659_A1,EP3707219A1,WO 2019/094659 A1,HOT MELT ADHESIVE COMPOSITIONS BASED ON PROPYLENE-BASED POLYMERS AND METHODS FOR USING SAME,Bostik,"BOSTIK, INC. [US/US];",US (United States),2017-11-10,2017,2018-11-09,2020-09-16,2024-08-14,The patent has been granted;  Expected maximum expiry 2038-11-09.,11 family-member/equivalent blocks in EP Register patent family tab.,12,"IPC: C09J123/14, B32B27/32, C08L23/14, B32B3/04, B32B5/02, B32B5/26, B32B7/12, B32B27/12, B32B29/00 | [2024/14] | CPC:         | B32B5/022 (EP,US); C09J7/35 (US); B32B27/12 (EP,US); | B32B27/32 (EP,US); B32B29/005 (EP); B32B3/04 (EP); | B32B37/1207 (US); B32B5/26 (EP); B32B7/12 (EP,US); | C08L23/14 (EP,US); C09J11/08 (US); C09J123/14 (EP,US); | C09J7/21 (US); C09J7/243 (US); B32B2037/1215 (US); | B32B2250/02 (EP); B32B2262/0253 (EP); B32B2307/51 (EP); | B32B2307/54 (EP); B32B2307/542 (EP); B32B2307/546 (EP); | B32B2307/548 (EP); B32B2307/558 (EP); B32B2307/718 (EP); | B32B2307/7246 (EP); B32B2307/748 (EP); B32B2405/00 (EP); | B32B2439/62 (EP); B32B2439/70 (EP); B32B2519/00 (EP); | B32B2535/00 (EP); B32B2555/02 (EP,US); C08L2205/03 (EP,US); | C08L2314/06 (EP,US); C09J2400/263 (US); C09J2423/04 (US); | C09J2423/046 (US); C09J2423/10 (US); C09J2491/00 (US)  | C-Set:         | C08L23/14, C08L23/14, C08L23/14 (EP,US); | C09J123/14, C08L23/14, C08L23/14 (US,EP)",Trimodal propylene blend,Peel/creep architecture extension
WO_2023099461_A1,EP4441161A1,WO 2023/099461 A1,HOT MELT ADHESIVE COMPOSITION,Bostik,BOSTIK SA [FR/FR],FR (France),2021-11-30,2021,2022-11-29,2024-10-09,,Grant of patent is intended,7 family-member/equivalent blocks in EP Register patent family tab.,2,"IPC: C09J123/14, C08L23/14, C08L51/06 | [2024/41] | CPC: C09J123/14 (EP); C09J157/00 (US); C09J5/06 (US); | C08L2205/03 (EP); C08L2205/035 (EP); C08L2314/06 (EP) | C-Set: C09J123/14, C08L23/14, C08L23/14, C08L51/06 (EP); | C09J123/14, C08L23/14, C08L51/06 (EP)",Metallocene PP + acid-functional PP,Wet-state low-odour direction
